frequency,transmission_loss,grid_size,radius,inner_radius,gap_width
2000.0,-1.691878318786621,0.022,0.0085,0.007,0.0025
2070.3125,-3.4234673976898193,0.022,0.0085,0.007,0.0025
2140.625,-6.679087162017822,0.022,0.0085,0.007,0.0025
2210.9375,-11.834115982055664,0.022,0.0085,0.007,0.0025
2281.25,-18.970008850097656,0.022,0.0085,0.007,0.0025
2351.5625,-27.84293556213379,0.022,0.0085,0.007,0.0025
2421.875,-37.919857025146484,0.022,0.0085,0.007,0.0025
2492.1875,-48.47507095336914,0.022,0.0085,0.007,0.0025
2562.5,-58.7259407043457,0.022,0.0085,0.007,0.0025
2632.8125,-67.97059631347656,0.022,0.0085,0.007,0.0025
2703.125,-75.71485137939453,0.022,0.0085,0.007,0.0025
2773.4375,-81.78279113769531,0.022,0.0085,0.007,0.0025
2843.75,-86.3239974975586,0.022,0.0085,0.007,0.0025
2914.0625,-89.80372619628906,0.022,0.0085,0.007,0.0025
2984.375,-92.77249145507812,0.022,0.0085,0.007,0.0025
3054.6875,-95.3867416381836,0.022,0.0085,0.007,0.0025
3125.0,-97.33029174804688,0.022,0.0085,0.007,0.0025
3195.3125,-98.05049133300781,0.022,0.0085,0.007,0.0025
3265.625,-96.85810089111328,0.022,0.0085,0.007,0.0025
3335.9375,-93.11373901367188,0.022,0.0085,0.007,0.0025
3406.25,-86.54145812988281,0.022,0.0085,0.007,0.0025
3476.5625,-77.30696868896484,0.022,0.0085,0.007,0.0025
3546.875,-66.0016860961914,0.022,0.0085,0.007,0.0025
3617.1875,-53.582366943359375,0.022,0.0085,0.007,0.0025
3687.5,-41.16400146484375,0.022,0.0085,0.007,0.0025
3757.8125,-29.80643653869629,0.022,0.0085,0.007,0.0025
3828.125,-20.355178833007812,0.022,0.0085,0.007,0.0025
3898.4375,-13.283805847167969,0.022,0.0085,0.007,0.0025
3968.75,-8.539976119995117,0.022,0.0085,0.007,0.0025
4039.0625,-5.702794075012207,0.022,0.0085,0.007,0.0025
4109.375,-4.245093822479248,0.022,0.0085,0.007,0.0025
4179.6875,-3.62054181098938,0.022,0.0085,0.007,0.0025
4250.0,-3.36057186126709,0.022,0.0085,0.007,0.0025
4320.3125,-3.220289707183838,0.022,0.0085,0.007,0.0025
4390.625,-3.1349828243255615,0.022,0.0085,0.007,0.0025
4460.9375,-3.0651257038116455,0.022,0.0085,0.007,0.0025
4531.25,-3.016528606414795,0.022,0.0085,0.007,0.0025
4601.5625,-3.0191290378570557,0.022,0.0085,0.007,0.0025
4671.875,-3.0604605674743652,0.022,0.0085,0.007,0.0025
4742.1875,-3.11283802986145,0.022,0.0085,0.007,0.0025
4812.5,-3.1708984375,0.022,0.0085,0.007,0.0025
4882.8125,-3.2423713207244873,0.022,0.0085,0.007,0.0025
4953.125,-3.338129997253418,0.022,0.0085,0.007,0.0025
5023.4375,-3.4695823192596436,0.022,0.0085,0.007,0.0025
5093.75,-3.6338725090026855,0.022,0.0085,0.007,0.0025
5164.0625,-3.8328700065612793,0.022,0.0085,0.007,0.0025
5234.375,-4.086859226226807,0.022,0.0085,0.007,0.0025
5304.6875,-4.3735671043396,0.022,0.0085,0.007,0.0025
5375.0,-4.725430488586426,0.022,0.0085,0.007,0.0025
5445.3125,-5.329130172729492,0.022,0.0085,0.007,0.0025
5515.625,-6.416435241699219,0.022,0.0085,0.007,0.0025
5585.9375,-8.19057846069336,0.022,0.0085,0.007,0.0025
5656.25,-10.796050071716309,0.022,0.0085,0.007,0.0025
5726.5625,-14.302909851074219,0.022,0.0085,0.007,0.0025
5796.875,-18.689594268798828,0.022,0.0085,0.007,0.0025
5867.1875,-23.80086898803711,0.022,0.0085,0.007,0.0025
5937.5,-29.347904205322266,0.022,0.0085,0.007,0.0025
6007.8125,-34.98306655883789,0.022,0.0085,0.007,0.0025
6078.125,-40.3956184387207,0.022,0.0085,0.007,0.0025
6148.4375,-45.36897277832031,0.022,0.0085,0.007,0.0025
6218.75,-49.75831604003906,0.022,0.0085,0.007,0.0025
6289.0625,-53.496917724609375,0.022,0.0085,0.007,0.0025
6359.375,-56.671234130859375,0.022,0.0085,0.007,0.0025
6429.6875,-59.42226791381836,0.022,0.0085,0.007,0.0025
6500.0,-61.83641815185547,0.022,0.0085,0.007,0.0025
6570.3125,-63.97502136230469,0.022,0.0085,0.007,0.0025
6640.625,-65.88679504394531,0.022,0.0085,0.007,0.0025
6710.9375,-67.60537719726562,0.022,0.0085,0.007,0.0025
6781.25,-69.0256576538086,0.022,0.0085,0.007,0.0025
6851.5625,-70.03504943847656,0.022,0.0085,0.007,0.0025
6921.875,-70.6858139038086,0.022,0.0085,0.007,0.0025
6992.1875,-71.08323669433594,0.022,0.0085,0.007,0.0025
7062.5,-71.35881042480469,0.022,0.0085,0.007,0.0025
7132.8125,-71.62576293945312,0.022,0.0085,0.007,0.0025
7203.125,-71.93384552001953,0.022,0.0085,0.007,0.0025
7273.4375,-72.3116683959961,0.022,0.0085,0.007,0.0025
7343.75,-72.79649353027344,0.022,0.0085,0.007,0.0025
7414.0625,-73.40632629394531,0.022,0.0085,0.007,0.0025
7484.375,-74.11954498291016,0.022,0.0085,0.007,0.0025
7554.6875,-74.87206268310547,0.022,0.0085,0.007,0.0025
7625.0,-75.58551025390625,0.022,0.0085,0.007,0.0025
7695.3125,-76.18360900878906,0.022,0.0085,0.007,0.0025
7765.625,-76.61042022705078,0.022,0.0085,0.007,0.0025
7835.9375,-76.95720672607422,0.022,0.0085,0.007,0.0025
7906.25,-77.30087280273438,0.022,0.0085,0.007,0.0025
7976.5625,-77.56900787353516,0.022,0.0085,0.007,0.0025
8046.875,-77.67943572998047,0.022,0.0085,0.007,0.0025
8117.1875,-77.56754302978516,0.022,0.0085,0.007,0.0025
8187.5,-77.21697998046875,0.022,0.0085,0.007,0.0025
8257.8125,-76.67723083496094,0.022,0.0085,0.007,0.0025
8328.125,-75.99258422851562,0.022,0.0085,0.007,0.0025
8398.4375,-75.16992950439453,0.022,0.0085,0.007,0.0025
8468.75,-74.2166519165039,0.022,0.0085,0.007,0.0025
8539.0625,-73.1406478881836,0.022,0.0085,0.007,0.0025
8609.375,-71.94532012939453,0.022,0.0085,0.007,0.0025
8679.6875,-70.62921142578125,0.022,0.0085,0.007,0.0025
8750.0,-69.18778991699219,0.022,0.0085,0.007,0.0025
8820.3125,-67.61441802978516,0.022,0.0085,0.007,0.0025
8890.625,-65.90049743652344,0.022,0.0085,0.007,0.0025
8960.9375,-64.03556060791016,0.022,0.0085,0.007,0.0025
9031.25,-62.00720977783203,0.022,0.0085,0.007,0.0025
9101.5625,-59.800010681152344,0.022,0.0085,0.007,0.0025
9171.875,-57.393985748291016,0.022,0.0085,0.007,0.0025
